[22-02-23].00:59:44,Cuisine (RX1),21,22.76
[22-02-23].00:59:45,SalonTV (RX2),21,22.13
[22-02-23].00:59:45,Salle a manger (RX3),21,22.05
[22-02-23].00:59:46,Salon (RX4),21,22.37
[22-02-23].00:59:46,Verriere (RX5),21,19.82
[22-02-23].00:59:47,Chambre Dome (RX6),21,22.46
[22-02-23].00:59:47,Chambre Jardin (RX7),21,22.2
[22-02-23].00:59:48,Salle de bain Dome (RX8),21,21.89
[22-02-23].00:59:48,Dressing Dome (RX9),21,22.02
[22-02-23].00:59:49,Salle de douche (RX10),21,20.54
[22-02-23].00:59:49,Couloir Chambre Dome (RX11),23,22.75
[22-02-23].00:59:50,Salon de Lecture (RX12),21,22.54
[22-02-23].00:59:50,Salle de bain Lecture (RX13),24.5,23.83
[22-02-23].00:59:51,Chambre Samuel (RX14),19,23.79
[22-02-23].00:59:51,Bureau Roia (RX15),21,23.77
[22-02-23].00:59:52,<EOL> (RX0),0,0
[22-02-23].01:59:44,Cuisine (RX1),21,22.77
[22-02-23].01:59:45,SalonTV (RX2),21,22.15
[22-02-23].01:59:45,Salle a manger (RX3),21,22.03
[22-02-23].01:59:46,Salon (RX4),21,22.36
[22-02-23].01:59:46,Verriere (RX5),21,19.75
[22-02-23].01:59:47,Chambre Dome (RX6),21,22.37
[22-02-23].01:59:47,Chambre Jardin (RX7),21,22.14
[22-02-23].01:59:48,Salle de bain Dome (RX8),21,21.78
[22-02-23].01:59:48,Dressing Dome (RX9),21,21.86
[22-02-23].01:59:49,Salle de douche (RX10),21,20.47
[22-02-23].01:59:49,Couloir Chambre Dome (RX11),23,22.71
[22-02-23].01:59:50,Salon de Lecture (RX12),21,22.21
[22-02-23].01:59:50,Salle de bain Lecture (RX13),24.5,23.76
[22-02-23].01:59:51,Chambre Samuel (RX14),19,23.68
[22-02-23].01:59:51,Bureau Roia (RX15),21,23.74
[22-02-23].01:59:52,<EOL> (RX0),0,0
[22-02-23].02:59:44,Cuisine (RX1),21,22.76
[22-02-23].02:59:45,SalonTV (RX2),21,22.16
[22-02-23].02:59:45,Salle a manger (RX3),21,22.03
[22-02-23].02:59:46,Salon (RX4),21,22.36
[22-02-23].02:59:46,Verriere (RX5),21,19.75
[22-02-23].02:59:47,Chambre Dome (RX6),21,22.35
[22-02-23].02:59:47,Chambre Jardin (RX7),21,22.1
[22-02-23].02:59:48,Salle de bain Dome (RX8),21,21.66
[22-02-23].02:59:48,Dressing Dome (RX9),21,21.72
