[23-02-23].00:59:45,Cuisine (RX1),21,22.25
[23-02-23].00:59:46,SalonTV (RX2),21,22.02
[23-02-23].00:59:46,Salle a manger (RX3),21,21.38
[23-02-23].00:59:47,Salon (RX4),21,21.77
[23-02-23].00:59:47,Verriere (RX5),21,18.93
[23-02-23].00:59:48,Chambre Dome (RX6),21,20.92
[23-02-23].00:59:48,Chambre Jardin (RX7),21,21.87
[23-02-23].00:59:49,Salle de bain Dome (RX8),21,21.05
[23-02-23].00:59:49,Dressing Dome (RX9),21,20.97
[23-02-23].00:59:50,Salle de douche (RX10),21,20.46
[23-02-23].00:59:50,Couloir Chambre Dome (RX11),21,20.53
[23-02-23].00:59:51,Salon de Lecture (RX12),21,20.62
[23-02-23].00:59:51,Salle de bain Lecture (RX13),20.5,26.01
[23-02-23].00:59:52,Chambre Samuel (RX14),21,22.97
[23-02-23].00:59:52,Bureau Roia (RX15),21,23.11
[23-02-23].00:59:53,<EOL> (RX0),0,0
[23-02-23].01:59:45,Cuisine (RX1),21,22.22
[23-02-23].01:59:46,SalonTV (RX2),21,22.01
[23-02-23].01:59:46,Salle a manger (RX3),21,21.35
[23-02-23].01:59:47,Salon (RX4),21,21.72
[23-02-23].01:59:47,Verriere (RX5),21,18.85
[23-02-23].01:59:48,Chambre Dome (RX6),21,21.03
[23-02-23].01:59:48,Chambre Jardin (RX7),21,21.85
[23-02-23].01:59:49,Salle de bain Dome (RX8),21,21.1
[23-02-23].01:59:49,Dressing Dome (RX9),21,21.03
[23-02-23].01:59:50,Salle de douche (RX10),21,20.38
[23-02-23].01:59:50,Couloir Chambre Dome (RX11),21,20.65
[23-02-23].01:59:51,Salon de Lecture (RX12),21,20.59
[23-02-23].01:59:51,Salle de bain Lecture (RX13),20.5,26.1
[23-02-23].01:59:52,Chambre Samuel (RX14),21,22.96
[23-02-23].01:59:52,Bureau Roia (RX15),21,23.09
[23-02-23].01:59:53,<EOL> (RX0),0,0
[23-02-23].02:59:45,Cuisine (RX1),21,22.18
[23-02-23].02:59:46,SalonTV (RX2),21,22
[23-02-23].02:59:46,Salle a manger (RX3),21,21.31
[23-02-23].02:59:47,Salon (RX4),21,21.7
[23-02-23].02:59:47,Verriere (RX5),21,18.79
[23-02-23].02:59:48,Chambre Dome (RX6),21,20.92
[23-02-23].02:59:48,Chambre Jardin (RX7),21,21.81
[23-02-23].02:59:49,Salle de bain Dome (RX8),21,20.98
[23-02-23].02:59:49,Dressing Dome (RX9),21,20.87
[23-02-23].02:59:50,Salle de douche (RX10),21,20.34
[23-02-23].02:59:50,Couloir Chambre Dome (RX11),21,20.43
[23-02-23].02:59:51,Salon de Lecture (RX12),21,20.58
[23-02-23].02:59:51,Salle de bain Lecture (RX13),20.5,26.17
[23-02-23].02:59:52,Chambre Samuel (RX14),21,22.92
[23-02-23].02:59:52,Bureau Roia (RX15),21,23.07
[23-02-23].02:59:53,<EOL> (RX0),0,0
[23-02-23].03:59:45,Cuisine (RX1),21,22.14
[23-02-23].03:59:46,SalonTV (RX2),21,21.99
[23-02-23].03:59:46,Salle a manger (RX3),21,21.25
[23-02-23].03:59:47,Salon (RX4),21,21.63
[23-02-23].03:59:47,Verriere (RX5),21,18.68
[23-02-23].03:59:48,Chambre Dome (RX6),21,20.87
[23-02-23].03:59:48,Chambre Jardin (RX7),21,21.75
[23-02-23].03:59:49,Salle de bain Dome (RX8),21,20.9
[23-02-23].03:59:49,Dressing Dome (RX9),21,20.82
[23-02-23].03:59:50,Salle de douche (RX10),21,20.33
[23-02-23].03:59:50,Couloir Chambre Dome (RX11),21,20.45
[23-02-23].03:59:51,Salon de Lecture (RX12),21,20.55
[23-02-23].03:59:51,Salle de bain Lecture (RX13),20.5,26.24
[23-02-23].03:59:52,Chambre Samuel (RX14),21,22.89
[23-02-23].03:59:52,Bureau Roia (RX15),21,23.04
[23-02-23].03:59:53,<EOL> (RX0),0,0
[23-02-23].04:59:45,Cuisine (RX1),21,22.11
