[26-02-23].00:59:48,Cuisine (RX1),21,21.09
[26-02-23].00:59:49,SalonTV (RX2),21,20.87
[26-02-23].00:59:49,Salle a manger (RX3),21,20.34
[26-02-23].00:59:50,Salon (RX4),21,20.8
[26-02-23].00:59:50,Verriere (RX5),21,15.43
[26-02-23].00:59:51,Chambre Dome (RX6),21,17.14
[26-02-23].00:59:51,Chambre Jardin (RX7),21,21.22
[26-02-23].00:59:52,Salle de bain Dome (RX8),21,20.9
[26-02-23].00:59:52,Dressing Dome (RX9),21,20.81
[26-02-23].00:59:53,Salle de douche (RX10),21,20.27
[26-02-23].00:59:53,Couloir Chambre Dome (RX11),21,19.94
[26-02-23].00:59:54,Salon de Lecture (RX12),21,19.57
[26-02-23].00:59:54,Salle de bain Lecture (RX13),20.5,23.87
[26-02-23].00:59:55,Chambre Samuel (RX14),21,20.53
[26-02-23].00:59:55,Bureau Roia (RX15),21,20.96
[26-02-23].00:59:56,<EOL> (RX0),0,0
[26-02-23].01:59:48,Cuisine (RX1),21,21.02
[26-02-23].01:59:49,SalonTV (RX2),21,20.85
[26-02-23].01:59:49,Salle a manger (RX3),21,20.25
[26-02-23].01:59:50,Salon (RX4),21,20.72
[26-02-23].01:59:50,Verriere (RX5),21,15.2
[26-02-23].01:59:51,Chambre Dome (RX6),21,16.82
[26-02-23].01:59:51,Chambre Jardin (RX7),21,21.26
[26-02-23].01:59:52,Salle de bain Dome (RX8),21,20.82
[26-02-23].01:59:52,Dressing Dome (RX9),21,20.79
[26-02-23].01:59:53,Salle de douche (RX10),21,20.15
[26-02-23].01:59:53,Couloir Chambre Dome (RX11),21,19.76
[26-02-23].01:59:54,Salon de Lecture (RX12),21,19.3
[26-02-23].01:59:54,Salle de bain Lecture (RX13),20.5,23.84
[26-02-23].01:59:55,Chambre Samuel (RX14),21,20.46
[26-02-23].01:59:55,Bureau Roia (RX15),21,20.89
[26-02-23].01:59:56,<EOL> (RX0),0,0
[26-02-23].02:59:48,Cuisine (RX1),21,20.95
[26-02-23].02:59:49,SalonTV (RX2),21,20.81
[26-02-23].02:59:49,Salle a manger (RX3),21,20.14
[26-02-23].02:59:50,Salon (RX4),21,20.64
[26-02-23].02:59:50,Verriere (RX5),21,14.99
[26-02-23].02:59:51,Chambre Dome (RX6),21,16.41
[26-02-23].02:59:51,Chambre Jardin (RX7),21,21.06
[26-02-23].02:59:52,Salle de bain Dome (RX8),21,20.58
[26-02-23].02:59:52,Dressing Dome (RX9),21,20.79
[26-02-23].02:59:53,Salle de douche (RX10),21,20.04
[26-02-23].02:59:53,Couloir Chambre Dome (RX11),21,19.51
[26-02-23].02:59:54,Salon de Lecture (RX12),21,19.06
[26-02-23].02:59:54,Salle de bain Lecture (RX13),20.5,23.78
[26-02-23].02:59:55,Chambre Samuel (RX14),21,20.36
[26-02-23].02:59:55,Bureau Roia (RX15),21,21.12
[26-02-23].02:59:56,<EOL> (RX0),0,0
[26-02-23].03:59:48,Cuisine (RX1),21,20.96
[26-02-23].03:59:49,SalonTV (RX2),21,20.78
[26-02-23].03:59:49,Salle a manger (RX3),21,20.05
[26-02-23].03:59:50,Salon (RX4),21,20.54
[26-02-23].03:59:50,Verriere (RX5),21,14.73
[26-02-23].03:59:51,Chambre Dome (RX6),21,16.12
[26-02-23].03:59:51,Chambre Jardin (RX7),21,20.91
[26-02-23].03:59:52,Salle de bain Dome (RX8),21,20.33
[26-02-23].03:59:52,Dressing Dome (RX9),21,20.8
[26-02-23].03:59:53,Salle de douche (RX10),21,19.96
[26-02-23].03:59:53,Couloir Chambre Dome (RX11),21,19.35
[26-02-23].03:59:54,Salon de Lecture (RX12),21,18.69
[26-02-23].03:59:54,Salle de bain Lecture (RX13),20.5,23.71
[26-02-23].03:59:55,Chambre Samuel (RX14),21,20.26
[26-02-23].03:59:55,Bureau Roia (RX15),21,21.18
[26-02-23].03:59:56,<EOL> (RX0),0,0
[26-02-23].04:59:48,Cuisine (RX1),21,20.88
[26-02-23].04:59:49,SalonTV (RX2),21,20.73
[26-02-23].04:59:49,Salle a manger (RX3),21,19.95
[26-02-23].04:59:50,Salon (RX4),21,20.46
[26-02-23].04:59:50,Verriere (RX5),21,14.53
[26-02-23].04:59:51,Chambre Dome (RX6),21,15.68
[26-02-23].04:59:51,Chambre Jardin (RX7),21,20.98
[26-02-23].04:59:52,Salle de bain Dome (RX8),21,20.07
[26-02-23].04:59:52,Dressing Dome (RX9),21,20.8
[26-02-23].04:59:53,Salle de douche (RX10),21,19.86
[26-02-23].04:59:53,Couloir Chambre Dome (RX11),21,19.07
[26-02-23].04:59:54,Salon de Lecture (RX12),21,18.45
[26-02-23].04:59:54,Salle de bain Lecture (RX13),20.5,23.62
[26-02-23].04:59:55,Chambre Samuel (RX14),21,20.14
[26-02-23].04:59:55,Bureau Roia (RX15),21,21.07
[26-02-23].04:59:56,<EOL> (RX0),0,0
[26-02-23].05:59:48,Cuisine (RX1),21,20.84
[26-02-23].05:59:49,SalonTV (RX2),21,20.69
[26-02-23].05:59:49,Salle a manger (RX3),21,19.93
[26-02-23].05:59:50,Salon (RX4),21,20.53
[26-02-23].05:59:50,Verriere (RX5),21,14.67
[26-02-23].05:59:51,Chambre Dome (RX6),21,15.98
[26-02-23].05:59:51,Chambre Jardin (RX7),21,20.96
[26-02-23].05:59:52,Salle de bain Dome (RX8),21,20.09
[26-02-23].05:59:52,Dressing Dome (RX9),21,20.82
[26-02-23].05:59:53,Salle de douche (RX10),21,19.82
[26-02-23].05:59:53,Couloir Chambre Dome (RX11),21,19.24
[26-02-23].05:59:54,Salon de Lecture (RX12),21,18.02
[26-02-23].05:59:54,Salle de bain Lecture (RX13),20.5,23.64
[26-02-23].05:59:55,Chambre Samuel (RX14),21,20.13
[26-02-23].05:59:55,Bureau Roia (RX15),21,21
[26-02-23].05:59:56,<EOL> (RX0),0,0
[26-02-23].06:59:48,Cuisine (RX1),21,20.84
[26-02-23].06:59:49,SalonTV (RX2),21,20.65
[26-02-23].06:59:49,Salle a manger (RX3),21,19.9
[26-02-23].06:59:50,Salon (RX4),21,20.54
[26-02-23].06:59:50,Verriere (RX5),21,14.62
[26-02-23].06:59:51,Chambre Dome (RX6),21,15.91
[26-02-23].06:59:51,Chambre Jardin (RX7),21,20.79
[26-02-23].06:59:52,Salle de bain Dome (RX8),21,20.11
[26-02-23].06:59:52,Dressing Dome (RX9),21,20.84
[26-02-23].06:59:53,Salle de douche (RX10),21,19.85
[26-02-23].06:59:53,Couloir Chambre Dome (RX11),21,19.16
[26-02-23].06:59:54,Salon de Lecture (RX12),21,17.68
[26-02-23].06:59:54,Salle de bain Lecture (RX13),20.5,23.6
[26-02-23].06:59:55,Chambre Samuel (RX14),21,20.06
[26-02-23].06:59:55,Bureau Roia (RX15),21,20.89
[26-02-23].06:59:56,<EOL> (RX0),0,0
[26-02-23].07:59:48,Cuisine (RX1),21,20.82
[26-02-23].07:59:49,SalonTV (RX2),21,20.63
[26-02-23].07:59:49,Salle a manger (RX3),21,19.88
[26-02-23].07:59:50,Salon (RX4),21,20.58
[26-02-23].07:59:50,Verriere (RX5),21,14.72
