[18-02-23].00:59:40,Cuisine (RX1),24,24.42
[18-02-23].00:59:41,SalonTV (RX2),21,22.71
[18-02-23].00:59:41,Salle a manger (RX3),24,23.82
[18-02-23].00:59:42,Salon (RX4),26,24.48
[18-02-23].00:59:42,Verriere (RX5),28,21.91
[18-02-23].00:59:43,Chambre Dome (RX6),24,24.01
[18-02-23].00:59:43,Chambre Jardin (RX7),22,23.71
[18-02-23].00:59:44,Salle de bain Dome (RX8),24,24.18
[18-02-23].00:59:44,Dressing Dome (RX9),24,24.12
[18-02-23].00:59:45,Salle de douche (RX10),20,15.84
[18-02-23].00:59:45,Couloir Chambre Dome (RX11),23,23.95
[18-02-23].00:59:46,Salon de Lecture (RX12),19,20.47
[18-02-23].00:59:46,Salle de bain Lecture (RX13),24.5,23.18
[18-02-23].00:59:47,Chambre Samuel (RX14),19,19.91
[18-02-23].00:59:47,Bureau Roia (RX15),22,23.26
[18-02-23].00:59:48,<EOL> (RX0),0,0
[18-02-23].01:59:40,Cuisine (RX1),24,24.18
[18-02-23].01:59:41,SalonTV (RX2),21,22.78
[18-02-23].01:59:41,Salle a manger (RX3),24,23.61
[18-02-23].01:59:42,Salon (RX4),26,24.17
[18-02-23].01:59:42,Verriere (RX5),28,21.65
[18-02-23].01:59:43,Chambre Dome (RX6),24,23.96
[18-02-23].01:59:43,Chambre Jardin (RX7),22,23.66
[18-02-23].01:59:44,Salle de bain Dome (RX8),24,24.12
[18-02-23].01:59:44,Dressing Dome (RX9),24,24.03
[18-02-23].01:59:45,Salle de douche (RX10),20,16.26
[18-02-23].01:59:45,Couloir Chambre Dome (RX11),23,23.8
[18-02-23].01:59:46,Salon de Lecture (RX12),19,20.48
[18-02-23].01:59:46,Salle de bain Lecture (RX13),24.5,23.2
[18-02-23].01:59:47,Chambre Samuel (RX14),19,18.84
[18-02-23].01:59:47,Bureau Roia (RX15),22,23.35
[18-02-23].01:59:48,<EOL> (RX0),0,0
[18-02-23].02:59:40,Cuisine (RX1),24,24.08
[18-02-23].02:59:41,SalonTV (RX2),21,22.81
[18-02-23].02:59:41,Salle a manger (RX3),24,23.54
[18-02-23].02:59:42,Salon (RX4),26,24.1
[18-02-23].02:59:42,Verriere (RX5),28,21.61
[18-02-23].02:59:43,Chambre Dome (RX6),24,23.94
[18-02-23].02:59:43,Chambre Jardin (RX7),22,23.63
[18-02-23].02:59:44,Salle de bain Dome (RX8),24,24.05
[18-02-23].02:59:44,Dressing Dome (RX9),24,23.96
[18-02-23].02:59:45,Salle de douche (RX10),20,15.96
[18-02-23].02:59:45,Couloir Chambre Dome (RX11),23,23.7
[18-02-23].02:59:46,Salon de Lecture (RX12),19,20.36
[18-02-23].02:59:46,Salle de bain Lecture (RX13),24.5,23.21
[18-02-23].02:59:47,Chambre Samuel (RX14),19,16.55
[18-02-23].02:59:47,Bureau Roia (RX15),22,23.38
[18-02-23].02:59:48,<EOL> (RX0),0,0
[18-02-23].03:59:40,Cuisine (RX1),24,24.18
[18-02-23].03:59:41,SalonTV (RX2),21,22.85
[18-02-23].03:59:41,Salle a manger (RX3),24,23.69
[18-02-23].03:59:42,Salon (RX4),26,24.37
[18-02-23].03:59:42,Verriere (RX5),28,21.65
[18-02-23].03:59:43,Chambre Dome (RX6),24,23.77
[18-02-23].03:59:43,Chambre Jardin (RX7),22,23.57
[18-02-23].03:59:44,Salle de bain Dome (RX8),24,23.82
[18-02-23].03:59:44,Dressing Dome (RX9),24,23.81
[18-02-23].03:59:45,Salle de douche (RX10),20,16.13
[18-02-23].03:59:45,Couloir Chambre Dome (RX11),23,23.69
[18-02-23].03:59:46,Salon de Lecture (RX12),19,20.07
[18-02-23].03:59:46,Salle de bain Lecture (RX13),24.5,23.21
[18-02-23].03:59:47,Chambre Samuel (RX14),19,19.28
[18-02-23].03:59:47,Bureau Roia (RX15),22,23.41
[18-02-23].03:59:48,<EOL> (RX0),0,0
[18-02-23].04:59:40,Cuisine (RX1),24,24.26
[18-02-23].04:59:41,SalonTV (RX2),21,22.87
[18-02-23].04:59:41,Salle a manger (RX3),24,23.86
[18-02-23].04:59:42,Salon (RX4),26,24.68
[18-02-23].04:59:42,Verriere (RX5),28,21.74
[18-02-23].04:59:43,Chambre Dome (RX6),24,23.67
[18-02-23].04:59:43,Chambre Jardin (RX7),22,23.52
[18-02-23].04:59:44,Salle de bain Dome (RX8),24,23.73
[18-02-23].04:59:44,Dressing Dome (RX9),24,23.77
[18-02-23].04:59:45,Salle de douche (RX10),20,16.09
[18-02-23].04:59:45,Couloir Chambre Dome (RX11),23,23.64
[18-02-23].04:59:46,Salon de Lecture (RX12),19,19.95
[18-02-23].04:59:46,Salle de bain Lecture (RX13),24.5,23.21
[18-02-23].04:59:47,Chambre Samuel (RX14),19,20.63
[18-02-23].04:59:47,Bureau Roia (RX15),22,23.44
[18-02-23].04:59:48,<EOL> (RX0),0,0
[18-02-23].05:59:40,Cuisine (RX1),24,24.33
[18-02-23].05:59:41,SalonTV (RX2),21,22.9
[18-02-23].05:59:41,Salle a manger (RX3),24,23.96
[18-02-23].05:59:42,Salon (RX4),26,24.84
[18-02-23].05:59:42,Verriere (RX5),28,21.7
[18-02-23].05:59:43,Chambre Dome (RX6),24,23.57
[18-02-23].05:59:43,Chambre Jardin (RX7),22,23.47
[18-02-23].05:59:44,Salle de bain Dome (RX8),24,23.66
[18-02-23].05:59:44,Dressing Dome (RX9),24,23.75
[18-02-23].05:59:45,Salle de douche (RX10),20,16.01
[18-02-23].05:59:45,Couloir Chambre Dome (RX11),23,23.69
[18-02-23].05:59:46,Salon de Lecture (RX12),19,19.76
[18-02-23].05:59:46,Salle de bain Lecture (RX13),24.5,23.19
[18-02-23].05:59:47,Chambre Samuel (RX14),19,21.15
[18-02-23].05:59:47,Bureau Roia (RX15),22,23.43
[18-02-23].05:59:48,<EOL> (RX0),0,0
